,Abstractive,Lex-t5,Original
158,"We will talk today about local warming. This is the posture of ladies who are not blogging; this is the posture of ladies who are blogging. (Laughter) This is the natural posture of a man sitting, squatting for ventilation purposes. This is the issue of local warming. You should care about your posture -- this is not right. This is the correct posture. And there are some enhanced protection measures, which I would like to share with you, and I would like, in a minute, to thank Philips for helping. By the way, I must admit, my English is not so good, I didn't know what is scrotal; I understand it's a scrotum. Video: Man: The Philips Bodygroom has a sleek, ergonomic design for a safe and easy way to trim those scruffy underarm hairs, the untidy curls on and around your [bleep], as well as the hard to reach locks on the underside of your [bleep] and [bleep]. (Applause) And I just want to show you that I'm not just preaching, but I also practice.","Philips Bodygroom has a sleek, ergonomic design for a safe and easy way to trim underarm hairs. ""my English is not so good, I didn't know what is scrotal; I understand it's a scrotum""","Investor and prankster Yossi Vardi delivers a ballsy lecture on the dangers of blogging. Specifically, for men."
159,"So we love this kind of stuff. And so, my life is much more complex because of the baby, actually, but that's okay. It's a very simple kind of food. But the Media Lab is an interesting place, and it's important to me because as a student, I was a computer science undergrad, and I discovered design later on in my life. But I thought, ""This is very interesting. I was looking for some kind of form, and in the end, I made 100 butter-fries. Because that's what this is about. So, if I simplify the laws of simplicity, I have what's called the cookie versus laundry thing. And so life is a big question, I think, in simplicity, because you're trying to simplify your life. They have so many thoughts, and they have so much wisdom, and I think -- you know, this TED thing, I've come here.","the media lab is an interesting place, and it's important to me. if i simplify the laws of simplicity, i have what's called the cookie versus laundry thing.","The MIT Media Lab's John Maeda lives at the intersection of technology and art, a place that can get very complicated. Here he talks about paring down to basics."
160,"There must be a lot more, but those are at very, very small distances, and we haven't really interacted with them very much yet. The main thing I want to talk about is this: that we have this remarkable experience in this field of fundamental physics that beauty is a very successful criterion for choosing the right theory. I'll let you in on the answer to the last one that I offer, and that is, it has nothing to do with human beings. But even if we don't run across it in our lifetimes, we can still think there is one out there, and we're just trying to get closer and closer to it. So what that means is that the history of the universe is not determined just by the fundamental law. Now, what happens is that as we do that, as we peel these skins of the onion, and we get closer and closer to the underlying law, we see that each skin has something in common with the previous one, and with the next one. And the kind of mathematics that we had for the previous skin is almost the same as what we need for the next skin. The more and more symmetry you have, the better you exhibit the simplicity and elegance of the theory. So the mathematics for the adjoining skins is very similar to what we need for the new one. And he realized suddenly that the force that drew the apple down to the earth could be the same as the force regulating the motions of the planets and the moon.","jeffrey toobin: we have remarkable experience in physics that beauty is a successful criterion for choosing the right theory. toobin: we can still think there is one out there, and we're just trying to get closer to it. as we peel these skins of the onion, we see that each skin has something in common with the previous one. toobin: the more and more symmetry you have, the better you exhibit simplicity and elegance of the theory.","Armed with a sense of humor and laypeople's terms, Nobel winner Murray Gell-Mann drops some knowledge on TEDsters about particle physics, asking questions like, Are elegant equations more likely to be right than inelegant ones?"
161,"There is something called the square of a number, which most of you know is taking a number and multiplying it by itself. The way we can square on most calculators -- let me demonstrate with this one -- is by taking the number, such as five, hitting ""times"" and then ""equals,"" and on most calculators that will give you the square. What I'm going to try and do now is to square, in my head, four two-digit numbers faster than they can do on their calculators, even using the shortcut method. What I'll use is the second row this time, and I'll get four of you to each yell out a two-digit number, and if you would square the first number, and if you would square the second, the third and the fourth, I will try and race you to the answer. You can all take your time on this; I will not beat you to the answer on this one, but I will try to get the answer right. Volunteer: I don't know. And instead of squaring it this time, I want you to take that number and multiply it by any three-digit number that you want, but don't tell me what you're multiplying by -- just multiply it by any random three-digit number. What I'd like each of you to do is to call out for me any six of your seven digits, any six of them, in any order you'd like. AB: That's three. AB: I'll tell you what, Chris: as long as you have that book in front of you, do me a favor, turn to a year outside of the 1900s, either into the 1800s or way into the 2000s -- that'll be a much greater challenge for me.","the square of a number is taking a number and multiplying it by itself. on most calculators, the square is done by taking the number, hitting ""times"" and then ""equals"" if you square the first two-digit number, you'll square the second, third and fourth.","In a lively show, mathemagician Arthur Benjamin races a team of calculators to figure out 3-digit squares, solves another massive mental equation and guesses a few birthdays. How does he do it? He’ll tell you."
162,"And this is still going on, as you know. So they did that. (Laughter) Well, they were happy as could be, because he hadn't said a rational word in the weeks of observation. It didn't work very well on the schizophrenics, but it was pretty clear in the '30s and by the middle of the '40s that electroconvulsive therapy was very, very effective in the treatment of depression. But it wasn't that simple, because by the time I got out of that unit, I was not functional at all. Well, I was a grown man who had all of these rituals, and it got so there was a throbbing, there was a ferocious fear in my head. But there was one treatment, which actually had been pioneered at the Hartford Hospital in the early 1940s, and you can imagine what it was: it was prefrontal lobotomy. (Imitates a popping sound) So they decided -- I didn't know this, again, I found this out later -- that the only thing that could be done was for this 43-year-old man to have a prefrontal lobotomy. He asked to meet with the senior staff, and they agreed to meet with him, because he was very well thought of in that place. Well, those of you who know some of these books know that one is about death and dying, one is about the human body and the human spirit, one is about the way mystical thoughts are constantly in our minds.","in the '30s and '40s, electroconvulsive therapy was very effective in the treatment of depression. but by the time i got out of that unit, i was not functional at all. prefrontal lobotomy was pioneered at the Hartford hospital in the early 1940s.","Surgeon and author Sherwin Nuland discusses the development of electroshock therapy as a cure for severe, life-threatening depression -- including his own. It's a moving and heartfelt talk about relief, redemption and second chances."
163,"(Laughter) There was a very important study done a while ago at Princeton Theological Seminary that speaks to why it is that when all of us have so many opportunities to help, we do sometimes, and we don't other times. What turned out to determine whether someone would stop and help a stranger in need was how much of a hurry they thought they were in -- were they feeling they were late, or were they absorbed in what they were going to talk about. I was doing my taxes the other day, and I got to the point where I was listing all of the donations I gave, and I had an epiphany, it was -- I came to my check to the Seva Foundation and I noticed that I thought, boy, my friend Larry Brilliant would really be happy that I gave money to Seva. I was at a sushi restaurant a while back and I overheard two women talking about the brother of one woman, who was in the singles scene. The test was: from the moment they got together, how long it would take the guy to ask her a question with the word ""you"" in it. There is a newly coined word in the English language for the moment when the person we're with whips out their BlackBerry or answers that cell phone, and all of a sudden we don't exist. So at one point, my brother-in-law gets up the courage to ask the one question he really wants to know the answer to, and that is: how could you have done it? And I think that that is very troubling, and in a sense, I've been reflecting on turning that part of us off. And all of a sudden as I was going down the stairs I noticed that there was a man slumped to the side, shirtless, not moving, and people were just stepping over him -- hundreds and hundreds of people. This guy was back on his feet immediately.","a study shows how much of a hurry people thought they were in determines whether they would help. a man slumped to the side, shirtless, not moving, and people were just stepping over him. he was back on his feet immediately.","Daniel Goleman, author of ""Emotional Intelligence,"" asks why we aren't more compassionate more of the time."
164,"It's called ""All the Answers."" ♫ ♫ 'Cause here I go ... ♫ ♫ and I got all the answers ♫ ♫ right here in my hand. ♫ ♫ And I got all the answers ♫ ♫ and I don't have to understand ♫ ♫ 'cause I got all the answers. ♫ ♫ And here I go ... ♫ ♫ 'cause I got all the answers ♫ ♫ right here in my hand. ♫ ♫ I can do it all right here in my home. ♫ ♫ 'Cause I got all the answers ♫ ♫ right here on my screen. It was one of the titles that I was sort of thinking about calling my record, except there's a couple of problems. And the song is based on what I think was my first childhood attempts to think about invisible forces. So this is called ""Tembererana."" ♫ A dream within a dream, ♫ ♫ a world within a world, ♫ ♫ the sound of a primal scream ♫ ♫ travels out across the land.",the song is based on what I think was my first childhood attempts to think about invisible forces. the sound of a primal scream travels out across the land.,"Singer/guitarist Raúl Midón performs ""All the Answers"" in a world premiere at TED2007, followed by the sprightly ""Tembererana."""
165,"RB: About 55,000. What was that? No, I mean, I think -- CA: But is that your hair? That was a wonderful car-boat in which -- CA: Oh, that car that we -- actually we -- it was a TEDster event there, I think. So in those moments, you certainly wonder what you're doing up there or -- CA: What was the closest you got to -- when did you think, this is it, I might be on my way out? RB: Just what you would do in a situation like that: just I love you very much. Were you a rebel then, or how would you ... RB: Yeah, I think I was a bit of a maverick and -- but I ... And I was, yeah, I was fortunately good at sport, and so at least I had something to excel at, at school. What is that? RB: Well, I think that everybody -- people do things for a whole variety of different reasons and I think that, you know, when I'm on me deathbed, I will want to feel that I've made a difference to other people's lives. RB: I'm 56.","RB: ""i think I was a bit of a rebel then, or how would you do in a situation like that?"" RB: ""when I'm on me deathbed, I will want to feel that I've made a difference to other people's lives""","Richard Branson talks to TED's Chris Anderson about the ups and the downs of his career, from his multibillionaire success to his multiple near-death experiences -- and reveals some of his (very surprising) motivations."
166,"So, I had a $100,000 debt, and I noticed that the Kramer prize for human-powered flight, which had then been around for -- (Laughter) -- 17 years at the time, was 50,000 pounds, which, at the exchange rate, was just about 100,000 dollars. (Laughter) But that sure started me thinking about various things, and immediately, we began making a solar-powered plane because we felt solar power was going to be so important for the country and the world, we didn't want the small funding in the government to be decreased, which is what the government was trying to do with it. I wanted to show the slide -- this slide, I think, is the most important one any of you will see, ever, because -- (Laughter) (Applause) -- it shows nature versus humans, and goes from 1850 to 2050. You all got a couple of these in your gift bags, and one of the first things, the production version seemed to dive a little bit, and so I would just suggest you bend the wing tips up a little bit before you try flying it. As the wind comes up, it has to go over the cliff, so as you walk through the air, it goes around your body, some has to go over you. The launch is the difficult part: you've got to hold it high up, over your head, and you start walking forward, and just let go of it, and you can control it like that. (Applause) And that's it, so you can just control it, wherever you want, and it's just hours of fun. (Laughter) And this, we just wanted to show you -- if we can get the video running on this, yeah -- just an example of a little video surveillance. (Laughter) And that's it. I was going to bring an airplane, but I was worried about hitting people in here, so I thought this would be a little bit more gentle.","a solar-powered plane is a demonstration of the power of nature versus humans. the airplane has a wing tip that bends up a little before it goes through the air. the flight is the difficult part, so you've got to hold it high up, over your head.","Paul MacCready -- aircraft designer, environmentalist, and lifelong lover of flight -- talks about his long career."
167,"And all of these robotic missions are part of a bigger human journey: a voyage to understand something, to get a sense of our cosmic place, to understand something of our origins, and how Earth, our planet, and we, living on it, came to be. It has a very large, thick atmosphere, and in fact, its surface environment was believed to be more like the environment we have here on the Earth, or at least had in the past, than any other body in the solar system. And so it turns out that methane is to Titan what water is to the Earth. (Laughter) That is the view that we had of the surface of Titan before we got there with Cassini,   and I can tell you that what we have found on Titan, though it is not the same in detail, is every bit as fascinating as that story is. And what you see is bright and dark regions, and that's about as far as it got for us. This, we later found out, is, in fact, a crater, but there are very few craters on the surface of Titan, meaning it's a very young surface. It is so significant that, in my mind, this was an event that should have been celebrated with ticker tape parades in every city across the U.S. and Europe, and sadly, that wasn't the case. And I can't tell you what it was like to see the first pictures of Titan's surface from the probe. (Laughter) And then finally, the probe came to rest on the surface, and I'm going to show you, ladies and gentlemen, the first picture ever taken from the surface of a moon in the outer solar system. So it wasn't fluid that we landed in.","methane is to Titan what water is to the earth, says john sutter. sutter: this was an event that should have been celebrated with ticker tape parades. he says the first picture ever taken from the surface of a moon in the outer solar system. sutter: we're going to show you, ladies and gentlemen, the first picture of a moon.","Planetary scientist Carolyn Porco shows images from the Cassini voyage to Saturn, focusing on its largest moon, Titan, and on frozen Enceladus, which seems to shoot jets of ice."
168,"And that got me into a discussion with some other people, other scientists, about maybe some other subjects, and one of the guys I talked to, who was a neuroscientist, said, ""You know, I think there are a lot of solutions to the problems you brought up,"" and reminds me of Michael's talk yesterday and his mother saying you can't have a solution if you don't have a problem. But I also hope, because I think the people in this room can literally change the world, I hope you take some of this stuff away with you, and when you have an opportunity to be influential, that you try to get some heavy-duty money spent on some of these ideas. And with the kind of computing power we have now, there is, as I say, some of this going on, but it needs money. What can we do about this? But what happens, as this occurs, is that we lose our magnetic field around the Earth over the period of about 100 years, and that means that all these cosmic rays and particles that are to come streaming at us from the sun, that this field protects us from, are -- well, basically, we're gonna fry. You don't need that much up there. But the alarming thing is that astronomers recently have been studying stars that are similar to our Sun, and they've found that a number of them, when they're about the age of our Sun, brighten by a factor of as much as 20. So, what can we do about this? So, what can we do about it? You know, 10 years ago, or 15 years ago, really, you walk into an astronomy convention, and you say, ""You know, there's probably a black hole at the center of every galaxy,"" and they're going to hoot you off the stage.","astronomers recently have been studying stars similar to our Sun. they've found that a number of them, when they're about the age of our Sun, brighten by a factor of as much as 20.",How might the human race end? Stephen Petranek lays out 10 terrible options and the science behind them. Will we be wiped out by an asteroid? Eco-collapse? How about a particle collider gone wild?
169,"I'm going to try to give you a view of the world as I see it, the problems and the opportunities that we face, and then ask the question if we should be optimistic or pessimistic. And if it will be, it's the right thing to do, and if not, rethink it."" For those of us in this room, it's not just the poorest and the most vulnerable individual, it's the community, it's the culture, it's the world itself. What will that do to Bangladesh? And take a look at this. We're all in this together. Global warming is something that happens to all of us, all at once. There have been 30 novel emerging communicable diseases that begin in animals that have jumped species in the last 30 years. It should make you optimistic that smallpox no longer exists because it was the worst disease in history. In the last century -- that's the one that was seven years ago -- half a billion people died from smallpox: more than all the wars in history, more than any other infectious disease in the history of the world.","global warming is something that happens to all of us, all at once. there have been 30 novel emerging communicable diseases that begin in animals. it should make you optimistic that smallpox no longer exists because it was the worst disease in history.","We've known about global warming for 50 years and done little about it, says Google.org director Larry Brilliant. In spite of this and other depressing trends, he's optimistic and tells us why. From Skoll World Forum, Oxford, UK, www.skollfoundation.org"
170,"I'm going to tell you three stories on the way to one argument that's going to tell you a little bit about how we open user-generated content up for business. Now, that was a pretty good system for most of the history of the regulation of land, until this technology came along, and people began to wonder, were these instruments trespassers as they flew over land without clearing the rights of the farms below as they traveled across the country? And the important point to recognize is that even though these broadcasters were broadcasting something you would call second best, that competition was enough to break, at that time, this legal cartel over access to music. So, let's have some very few examples to get a sense of what I'm talking about here. (Music) (Laughter) And this is the best. The only thing that's bright ... My first love ... You're every breath that I take ... You're every step I make ... And I .... (Applause) And it's important to emphasize that what this is not is not what we call, quote, ""piracy."" Now, in response to this new use of culture using digital technologies, the law has not greeted this Sousa revival with very much common sense. And second, we need the businesses that are building out this read-write culture to embrace this opportunity expressly, to enable it, so that this ecology of free content, or freer content, can grow on a neutral platform where they both exist simultaneously, so that more-free can compete with less-free, and the opportunity to develop the creativity in that competition can teach one the lessons of the other. It is technology that has made them different, and as we see what this technology can do, we need to recognize you can't kill the instinct the technology produces.",john avlon: we need businesses that are building out read-write culture to embrace opportunity. avlon: free content can grow on neutral platform where they both exist simultaneously. he says we need to recognize you can't kill the instinct the technology produces. avlon: we need businesses that are building out read-write culture to enable it.,"Lawrence Lessig, the Net’s most celebrated lawyer, cites John Philip Sousa, celestial copyrights and the ""ASCAP cartel"" in his argument for reviving our creative culture."
171,"And definitively, I don't know why I am here, but -- you know the nightmare you can have, like you are an impostor, you arrive at the opera, and they push you, ""You must sing!"" What is the life of the owner of this mouth? But when I come back, I can understand why I shall not do it, because today to not do it, it's more positive than do it, or how I shall do it. The first, if you want -- there is so many -- but one which is very easy to do, is the duty of vision. If you raise the level of your eyes a little more you go, ""I see you, oh my God you are here, how are you, I can help you, I can design for you a new toothbrush, new toilet brush,"" something like that. Like that. That's why I say that. This scenario, of this civilization, was about becoming powerful, intelligent, like this idea we have invented, this concept of God. And when you don't understand really what's happened, you cannot go and fight and work and build and things like that. And you can fall, and it's very dangerous.","bob greene: to not do it, it's more positive than do it, or how I shall do it. he says to not do it, it's more positive than do it, or how I shall do it. greene: to not do it, it's more positive than do it, or how I shall do it. greene: to not do it, it's more positive than do it, or how I shall do it.","Designer Philippe Starck -- with no pretty slides to show -- spends 18 minutes reaching for the very roots of the question ""Why design?"" Listen carefully for one perfect mantra for all of us, genius or not."
172,"The exhibition was meant to be a way to have children think of doing ... you know when they do homeworks at home? Design can be that, of course, but it can also be this. You really have power in that people usually tend to know about your exhibition or see the exhibitions, and that is power because in a design museum I wouldn't have as many visitors. There have been many episodes, and actually Eames Demetrius may be here in the audience, but in two instances, his great-grandfather, grandfather -- I'm always a little perplexed about the relation, exactly -- Charles Eames the first time and then Charles and Ray Eames the second time were involved in two competitions: one in 1940, it was about organic furniture, and the second one in 1948 was low-cost furniture for the GIs coming back from the war that then sparked a whole line of furniture. And then, for instance, this other exhibition that was entitled Workspheres in 2001, where I asked different designers to come up with ideas for the new type of work styles that were happening in the world at that time. But the interesting thing in the exhibition is the discovery that the ultimate shelter is your sense of self, and there are quite a few designers that are working on this particular topic. And it was really interesting because I was the last speaker and before me there were people that were really talking about luxury, and I didn't want to be a party pooper but at the same time I felt that I had to kind of bring back the discourse to reality. So they're quite beautiful, but they're beautiful because they're so smart and economical. (Laughter) It's quite beautiful because somehow, this is a gorgeous moment for design. For instance, this is a beautiful container for asthma medicine that kind of inflates itself when it's time for you to take the medicine, so the child has to go -- pffff!","the ultimate shelter is your sense of self. the exhibition was meant to be a way to have children think of doing homeworks. it's beautiful because somehow, this is a gorgeous moment for design.","Paola Antonelli, design curator at New York's Museum of Modern Art, wants to spread her appreciation of design -- in all shapes and forms -- around the world."
173,"And that's been called the face area in the brain, because when it's damaged, you can no longer recognize people's faces. Well, what you do is, if you take any one of you here, and put you in front of a screen, and measure your galvanic skin response, and show pictures on the screen, I can measure how you sweat when you see an object, like a table or an umbrella. So the patient had an actual arm, which is painful, in a sling for a few months or a year, and then, in a misguided attempt to get rid of the pain in the arm, the surgeon amputates the arm, and then you get a phantom arm with the same pains, right? He had a phantom arm, excruciatingly painful, and he couldn't move it. (Applause) My first patient came in, and he looked in the mirror, and I said, ""Look at your reflection of your phantom."" So he said OK, and he took it home. (Laughter) ""So, can you change the design and put it on my forehead, so I can, you know, do this and eliminate my phantom fingers?"" And your motor command saying there is an arm, and, because of this conflict, the brain says, to hell with it, there is no phantom, there is no arm, right? So, we found that the color area and the number area are right next to each other in the brain, in the fusiform gyrus. Now, this is very important, because what it's telling you is your brain is engaging in a primitive -- it's just -- it looks like a silly illusion, but these photons in your eye are doing this shape, and hair cells in your ear are exciting the auditory pattern, but the brain is able to extract the common denominator.",the face area in the brain is right next to each other in the fusiform gyrus. the color area and the number area are right next to each other in the brain. it's telling you that your brain is engaging in a primitive illusion.,"Vilayanur Ramachandran tells us what brain damage can reveal about the connection between celebral tissue and the mind, using three startling delusions as examples."
174,"Not because there was not enough food -- because there was actually a surplus of food in the fertile regions of the south parts of the country -- but because in the north, people could not access or entitle themselves to that food. And most of Africa's farmers are, by and large, small farmers in terms of land that they operate, and very, very small farmers in terms of the capital they have at their disposal. And this is not just specific to Ethiopia, but happens over and over, all over Africa. When conditions are right, we know and see that that innovation is ready to explode in rural Africa, just like anywhere else. After having spent more than a decade understanding, studying, and trying to convince policymakers and donors about what was wrong with Africa's agricultural markets, I decided it was time to do something about it. Now, the commodity exchange itself, that concept, is not new to the world. This innovation is at the heart of the transformation of American agriculture, and the rise of Chicago to a global market, agricultural market, superpower from where it was, a small regional town. So, the ECX is an Ethiopian exchange for Ethiopia. And this is because one of the things we've learned over the last decade of studying market development in Africa is that the piecemeal approach does not work. Can Ethiopia do this?",the ECX is an Ethiopian exchange for Ethiopia. the concept is at the heart of the transformation of american agriculture. the ECX is an Ethiopian exchange for Ethiopia.,"Economist Eleni Gabre-Madhin outlines her ambitious vision to found the first commodities market in Ethiopia. Her plan would create wealth, minimize risk for farmers and turn the world's largest recipient of food aid into a regional food basket."
175,"Now in the 1980s, I happened to notice that if you look at an aerial photograph of an African village, you see fractals. And of course I had to go to Africa and ask folks why. (Laughter) And so I finally got to this city, and I'd done a little fractal model for the city just to see how it would sort of unfold -- but when I got there, I got to the palace of the chief, and my French is not very good; I said something like, ""I am a mathematician and I would like to stand on your roof."" But he was really cool about it, and he took me up there, and we talked about fractals. Here's one house with the sacred altar, here's the house of houses, the family enclosure, with the humans here where the sacred altar would be, and then here's the village as a whole -- a ring of ring of rings with the chief's extended family here, the chief's immediate family here, and here there's a tiny village only this big. So, when I got to the village, I said, ""Can you take me to the square building? He said, ""Well, if I lived in the jungle, I would only use the long rows of straw because they're very quick and they're very cheap. You can find it on the East Coast as well as the West Coast, and often the symbols are very well preserved, so each of these symbols has four bits -- it's a four-bit binary word -- you draw these lines in the sand randomly, and then you count off, and if it's an odd number, you put down one stroke, and if it's an even number, you put down two strokes. And I started explaining why I was there in Africa, and they got very excited when they saw the Cantor set. So it's really very successful teaching children that they have a heritage that's about mathematics, that it's not just about singing and dancing.",mathematician says he'd like to stand on the roof of the palace of the chief. fractals are a way of teaching children that math is not just about singing and dancing. fractals are a way of teaching children that math is not just about singing and dancing.,"'I am a mathematician, and I would like to stand on your roof.' That is how Ron Eglash greeted many African families he met while researching the fractal patterns he'd noticed in villages across the continent."
176,"They go out, they get the food, they dig the nest, and the queen never comes out again. And then this is how colony size and numbers of worker ants changes -- so this is about 10,000 worker ants -- changes as a function of colony age, in years. That's not just how is the colony organized, but how does it change what it's doing? So you see the nest maintenance workers come out with a bit of sand, put it down, turn around, and go back in. So just to reinforce that what you might have thought about ant queens isn't true -- you know, even if the queen did have the intelligence to send chemical messages through this whole network of chambers to tell the ants outside what to do, there is no way that such messages could make it in time to see the shifts in the allocation of workers that we actually see outside the nest. And what I wanted to know was, ""OK, here's a situation where extra nest maintenance workers were recruited -- is this going to have any effect on the workers performing other tasks?"" So, for example, when there's extra nest maintenance work to do, it's not that the foragers switch over. And what we're learning is that an ant uses the pattern of its antennal contacts, the rate at which it meets ants of other tasks, in deciding what to do. They've gone out to do different tasks, and the rate at which they meet as they come in and out of the nest entrance determines, or influences, each ant's decision about whether to go out, and which task to perform. You can also see this in the ants just outside the nest entrance like these.","sally kohn: colony size, number of worker ants changes as a function of colony age. kohn: queen has intelligence to tell ants outside what to do, but it's not enough. she says ants use pattern of contacts, rate at which they meet, to decide what to do. kohn: ants use pattern of contacts, rate at which they meet, to decide whether to go out.","Deborah Gordon studies ant colonies in the Arizona desert to understand their complex social system. She asks: How do these chitinous creatures get down to business -- and even multitask when they need to -- with no language, memory or visible leadership? Her answers could lead to a better understanding of all complex systems, from the brain to the Web. Thanks, ants."
177,"Ladies and gentlemen, the history of music and television on the Internet in three minutes. A TED medley -- a TEDley. ♫ It's nine o' clock on a Saturday ♫ ♫ The record store's closed for the night ♫ ♫ So I fire up the old iTunes music store ♫ ♫ And soon I am feelin' all right ♫ ♫ I know Steve Jobs can find me a melody ♫ ♫ With one dollar pricing that rocks ♫ ♫ I can type in the track and get album names back ♫ ♫ While still in my PJs and socks ♫ ♫ Sell us a song, you're the music man ♫ ♫ My iPod's still got 10 gigs to go ♫ ♫ Yes, we might prefer more compatibility ♫ ♫ But Steve likes to run the whole show ♫ ♫ I heard ""Desperate Housewives"" was great last night ♫ ♫ But I had a bad piece of cod ♫ ♫ As I threw up my meal, I thought, ""It's no big deal"" ♫ ♫ I'll watch it tonight on my 'Pod ♫ ♫ And now all of the networks are joining in ♫ ♫ Two bucks a show without ads ♫ ♫ It's a business those guys always wanted to try ♫ ♫ But only Steve Jobs had the 'nads ♫ ♫ They say we're young, don't watch TV ♫ ♫ They say the Internet is all we see ♫ ♫ But that's not true; they've got it wrong ♫ ♫ See, all our shows are just two minutes long ♫ ♫ Hey ♫ ♫ I got YouTube ♫ ♫ I got YouTube ♫ And now, ladies and gentlemen, a tribute to the Recording Industry Association of America -- the RIAA! ♫ Young man, you were surfin' along ♫ ♫ And then, young man, you downloaded a song ♫ ♫ And then, dumb man, copied it to your 'Pod ♫ ♫ Then a phone call came to tell you ... ♫ ♫ You've just been sued by the R-I-A-A ♫ ♫ You've just been screwed by the R-I-A-A ♫ ♫ Their attorneys say you committed a crime ♫ ♫ And there'd better not be a next time ♫ ♫ They've lost their minds at the R-I-A-A ♫ ♫ Justice is blind at the R-I-A-A ♫ ♫ You're depriving the bands ♫ ♫ You are learning to steal ♫ ♫ You can't do whatever you feel ♫ ♫ CD sales have dropped every year ♫ ♫ They're not greedy, they're just quaking with fear ♫ ♫ Yes indeedy, what if their end is near ♫ ♫ And we download all our music ♫ ♫ Yeah, that would piss off the R-I-A-A ♫ ♫ No plastic discs from the R-I-A-A ♫ ♫ What a way to make friends ♫ ♫ It's a plan that can't fail ♫ ♫ All your customers off to jail ♫ ♫ Who'll be next for the R-I-A-A? ♫ ♫ What else is vexing the R-I-A-A? ♫ ♫ Maybe whistling a tune ♫ ♫ Maybe humming along ♫ ♫ Maybe mocking 'em in a song ♫",the history of music and television on the Internet in three minutes. a tribute to the Recording Industry Association of America -- the RIAA.,"New York Times tech columnist David Pogue performs a satirical mini-medley about iTunes and the downloading wars, borrowing a few notes from Sonny and Cher and the Village People."
178,"I then went on to make more comments on the media and press imagery, so I started making reference to media imagery -- made it grainy, shot through doorways and so on and so forth -- to titillate the public or the viewer further in terms of trying to make the viewer more aware of their own voyeurism. So, this is an image of Diana looking at Camilla kissing her husband, and this was a sequence of images. This is Jane Smith and Jo Bloggs, for instance, but you think it's Camilla and the Queen, and I'm fascinated how what you think is real isn't necessarily real. And that is the way, I think, that celebrity magazines work now: the more pictures you see of these celebrities, the more you feel you know them, but you don't know them and you want to know them further. And then I was sort of making imagery. Which I found very interesting that it was going full cycle: I was making comments about the press and about how we know facts and information only by media -- because we don't know the real people; very few of us know the real people -- but it was going back into the press and they were publicizing, effectively, my filthy work. And me as the Queen. She looks nothing like Marilyn, but by the time we've made her up and put wigs and makeup on, she looks exactly like Marilyn, to the extent that her husband couldn't recognize her -- or recognize this look-alike -- in these photographs, which I find quite interesting. And I think it doesn't really matter that my work is considered humorous, in a way; I think it's a way in for me to deal with the importance of imagery and how we read all our information through imagery. I mean, it's extremely difficult to find these look-alikes, so I'm constantly going up to people in the street and trying to ask people to come and be in one of my photographs or films.","the queen looks nothing like Marilyn, but by the time we've made her up, she looks exactly like Marilyn. i'm constantly going up to people in the street and trying to ask people to come and be in one of my photographs.","By making photographs that seem to show our favorite celebs (Diana, Elton John) doing what we really, secretly, want to see them doing, Alison Jackson explores our desire to get personal with celebs. Contains graphic images."
179,"This is your conference, and I think you have a right to know a little bit right now, in this transition period, about this guy who's going to be looking after it for you for a bit. It's called Future; it was a magazine publishing company. I thought the little graph of my business life that kind of looked a bit like Moore's Law -- ever upward and to the right -- it was going to go on forever. And the way in which you could think about us as a species and us as a planet had just changed so much, and it was incredibly exciting. And what was really most exciting -- and I think Richard Wurman discovered this at least 20 years before I did -- was that all this stuff is connected. And when you think about it, it's very true: what we all most desire is a penis -- or ""happiness"" as we say in English. (Laughter) (Applause) But something as basic as happiness, which 20 years ago would have been just something for discussion in the church or mosque or synagogue, today it turns out that there's dozens of TED-like questions that you can ask about it, which are really interesting. And so on, and so on. (Laughter) So, I gave myself the job title of TED Custodian for a reason, and I will promise you right here and now that the core values that make TED special are not going to be interfered with. Already, just in the last few days, we've had so many people talking about stuff that they care about, that they're passionate about, that can make a difference in the world, and the idea of getting this group of people together -- some of the causes that we believe in, the money that this conference can raise and the ideas -- I really believe that that combination will, over time, make a difference.","john avlon: what we all most desire is a penis -- or ""happiness"" avlon: today there's dozens of TED-like questions that you can ask about happiness. he says the core values that make TED special are not going to be interfered with. avlon: if you want to make a difference in the world, you need a TED custodian.","Chris Anderson gave this talk in 2002, prior to taking over leadership of TED. Co-founder Richard Saul Wurman was leaving, and TED's future was in the balance. He seeks to persuade TEDsters that what was then a for-profit conference had a secure future as an idea-based nonprofit endeavor."
