,Abstractive,Lex-Bart,Original
272,"Just think about that, you know? And it's the story of many of the Africans who are here. Now, when I was born, they realized they had a pretty smart kid, and they didn't want me to go to the neighborhood school, which was free. And I was so disappointed, and I was like, ""Oh my God, you know, what am I going to do?"" So we went to the school, and because we were nobodies, and because we didn't have privilege, and because my father didn't have the right last name, he was treated like dirt. And I was in the States at the time, and they called me. And, you know, now, imagine if -- and I could go on and on -- imagine if this is all you know about me. And you didn't know about the windmill, you know? But there is such a need, you know? And what is it about our society that is generating leaders that we don't like? And I'd ask all of you, when you leave here, please just share, and keep the ideas that you've gotten out of here going, because it can make a difference. And because of him, I got into Harvard Law School, because he took an interest. And he tried to talk me out of it, but it was like, ""OK, I know nothing about applying to law school, I'm poli-sci Ph.D. But, you know, let's figure out what I need you to do, what I need to do to help you out."" You know, you're smart, you have all these things going for you.""","When I was born, they realized they had a pretty smart kid, and they didn't want me to go to the neighborhood school, which was free. So we went to the school, and because we were nobodies, andBecause we didn't have privilege, he was treated like dirt. And because of him, I got into Harvard Law School. And, you know, now, imagine if -- and I could go on and on -- imagine if this is all you know about me. , because he took an interest. And he tried to talk me out of it, but it was like, ""OK, I know nothing about applying to law school, I'm poli-sci Ph.D.""",Ory Okolloh tells the story of her life and her family -- and how she came to do her heroic work reporting on the doings of Kenya's parliament.
273,"I'm a librarian, and what I'm trying to do is bring all of the works of knowledge to as many people as want to read it. But with the industriousness of the Egyptians, they were able to build the Library of Alexandria -- the idea of a copy of every book of all the peoples of the world. The problem was you actually had to go to Alexandria to go to it. And the way I'm going to try to do this is do it like the Amazon.com website, the books, music, video and just go step -- media type by media type, just go and say, all right, how're we doing on this? If you wanted to put all of the published works online so that anybody could have it available, well, how big a problem is it? What we found out of this is we didn't have the right books. So the books were in the library. And we have a quick hack that we did to try to put one of our books on it, and it turns out that 200 dots per inch means that you can put scanned books on them that look really good. This is not a fax, this is -- the idea is to do a beautiful job as you're going through these libraries. We actually have been able to do a pretty good job of this, at getting 10 cents a page. The Library of Congress, if you did the whole darn thing -- 26 million books -- is about 750 million dollars, right? So, we can do 10 cents a page, we're going 15,000 books a month and we've got about 250,000 books online, counting all the other projects that are starting to add in. If there's one thing that we want to learn from the Library of Alexandria version one, which is probably best known for burning, is, don't just have one copy. So we've started to -- we've made another copy of all of this and we actually put it back in the Library of Alexandria. How do we go and have a world where we both have libraries and publishing in the future, just as we basically benefited as we were growing up?","I'm a librarian, and what I'm trying to do is bring all of the works of knowledge to as many people as want to read it. The way I'm going to try to do this is do it like the Amazon.com website, the books, music, video and just go step -- media type by media type. The Library of Congress has 26 million books, which is about 750 million dollars. We can do 10 cents a page, we're going 15,000 books a month and we've got about 250,000Books online.","Brewster Kahle is building a truly huge digital library -- every book ever published, every movie ever released, all the strata of web history ... It's all free to the public -- unless someone else gets to it first."
274,"So this is a computer program. And if you buy all of this, and you think life is about computation, as I do, then you look at big questions through the eyes of a computer scientist. When you look at DNA origami, you can see that what it really is, even though you think it's complicated, is a bunch of double helices that are parallel to each other, and they're held together by places where short strands go along one helix and then jump to another one. What is it? Now, this is just a single switch and you need half a billion for a computer, so we have a long way to go. You zoom in, there are just four DNA strands and they have little single-stranded bits on them that can bind to other tiles, if they match. And the point of this, if you didn't catch that, is that tiles are a kind of molecular program and they can output patterns. You can encode the number 32 in the right-hand side of a DNA origami, and when you add those tiles that count, they will start to count -- they will read that 32 and they'll stop at 32. So, what we've done is we've figured out a way to have a molecular program know when to stop going. Here's the DNA origami, and what we can do is we can write 32 on both edges of the DNA origami, and we can now use our watering can and water with tiles, and we can start growing tiles off of that and create a square. If we wanted to make a square of size 10, 100 or 1,000, if we used DNA origami alone, we would require a number of DNA strands that's the square of the size of that square; so we'd need 100, 10,000 or a million DNA strands. But if we use a little computation -- we use origami, plus some tiles that count -- then we can get away with using 100, 200 or 300 DNA strands. If you look at the square that you build with the origami and some counters growing off it, the pattern that it has is exactly the pattern that you need to make a memory. (Laughter) So, it turns out we actually had this idea nine years ago, and that's about the time constant for how long it takes to do these kinds of things, so I think we made a lot of progress. You know, so this is all very cool, but what I'd like you to take from the talk, hopefully from some of those big questions, is that this molecular programming isn't just about making gadgets.","When you look at DNA origami, you can see that what it really is is a bunch of double helices that are parallel to each other, and they're held together by places where short strands go along one helix and then jump to another one. Now, this is just a single switch and you need half a billion for a computer, so we have a long way to go. ""We can write 32 on both edges of the DNA origami, and we can now use our watering can and water with tiles,"" he says. ""We can start growing tiles off of that and create a square. If you look at the square that you build with the origami and some counters growing off it, the pattern that it has is exactly the pattern"" ""Molecular programming isn't just about making gadgets,"" says Dr. Richard Branson. ""We made a lot of progress. You know, so this is all very cool, but what I'd like you to take from the talk, hopefully from some of those big questions,"" he says.","In 2007, Paul Rothemund gave TED a short summary of his specialty, DNA folding. Now he lays out in clear, abundant detail the immense promise of this field -- to create tiny machines that assemble themselves."
275,"Einstein: Einstein. SW: Yeah. SW: Yeah. Since Einstein is a bird, she's very interested in things that fly. E: Ooh. SW: Yeah. E: [Squawks] SW: Yeah, it sure can. But you don't like to drink beer,  Einstein. (Laughter) SW: And so do all the folks  back home in Tennessee. (Laughter) SW: And since she's such a big fan, she knows that his birthday  is coming up at the end of March. Einstein, do you want  to say ""hi"" to all the owls? (Laughter) Let's get that one out of there. (Laughter) SW: At the zoo we have  big cats from the jungle. (Laughter) Well, we would like  to encourage all of you to do your part to help protect  Einstein's animal friends, and to do your part to help protect  their homes that they live [in]. E: [Kissing noise] SW: And what do you say  when it's time to go?","Einstein's birthday is coming up at the end of March. ""Einstein, do you want  to say ""hi"" to all the owls? (Laughter) Let's get that one out of there,"" zoo says.","This whimsical wrap-up of TED2006 -- presented by Einstein, the African grey parrot, and her trainer, Stephanie White -- simply tickles. Watch for the moment when Einstein has a moment with Al Gore."
276,"(Laughter) So the hand that looks so good from the beginning, number three, at the end was actually the lowest hand. (Applause) No, now and then I put in a mistake, just to emphasize how difficult it is. One, two, three, four, five, six, seven, eight, nine, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23 -- ah, 25, yes. The person who said five of clubs say stop, when the cards are in the air, right? And now a card with a contrast of five of clubs. The false count -- and the number one, two, three, four, five, six, seven, eight -- you say the same card all the time. (Laughter) Now, I put the laser here, and -- now, when I deal the cards in the laser, I know where they are but -- yes? (Laughter) Yeah, good. I try to do this right here. Five, six, seven, eight -- ah -- nine, 10, the jack, jack of spades, queen of -- I like that laugh, yeah! So now, I will do it. (Laughter) And I give you a diamonds, so they -- so you put them here, in a nice row, right. And you can see, yeah? Zoe: Five of diamonds, yeah. Yeah, I do this.","One, two, three, four, five, six, seven, eight, nine, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23 -- ah, 25, yes. (Laughter) So the hand that looks so good from the beginning, number three, at the end was actually the lowest hand. ""I do this. Yeah, I do this,"" he says. ""I'm not ashamed of it. I'm proud of it""","Like your uncle at a family party, the rumpled Swedish doctor Lennart Green says, ""Pick a card, any card."" But what he does with those cards is pure magic -- flabbergasting, lightning-fast, how-does-he-do-it? magic."
277,"I got him. Now I have to tell you, I was talking to Kyle last week about this, that I was going to tell this story. I remember my image of you was that you were up on the shore yelling at me."" But to be a great photojournalist, you have to have more than just one or two great photographs in you. You've got to be able to make them all the time. And that is what Nick did, up to a point. But what Nick did was he brought back a story that went beyond the old-school method of just straight, ""Isn't this an amazing world?"" Instead of just knowledge of this park, he created an understanding and an empathy for the elephants, the rangers and the many issues surrounding human-wildlife conflicts. So instead, what we did was we decided to, instead of going out and doing what would result in what we'd consider sort of a survey story -- where you just go in and see just a little bit of everything -- we put Jonas into Dharavi, which is part of Mumbai, India, and let him stay there, and really get into the heart and soul of this really major part of the city. Brian photographed a marine sanctuary in New Zealand, where commercial fishing had been banned -- the result being that the overfished species have been restored, and with them a possible solution for sustainable fisheries. But then Paul got in the water. So what she did was she started to bring penguins to him, alive, and put them in front of him. She'd kind of look at him, like ""What are you doing?"" Go back and get them, and then bring them back and drop them in front of him. Paul set out to photograph a relatively mysterious and unknown creature, and came back with not just a collection of photographs, but an amazing experience and a great story.","CNN's John Sutter talks to photojournalist Nick Paton Walsh about his work. Walsh traveled to Mumbai, India, to capture the heart and soul of an elephant park. Walsh: ""He created an understanding and an empathy for the elephants"" Brian photographed a marine sanctuary in New Zealand, where commercial fishing had been banned. The result was that the overfished species have been restored, and with them a possible solution for sustainable fisheries.","The photo director for National Geographic, David Griffin knows the power of photography to connect us to our world. In a talk filled with glorious images, he talks about how we all use photos to tell our stories."
278,"But what happened was that when I administered a questionnaire to each of these schools, with one single question for the teachers -- which was, ""Would you like to move to an urban, metropolitan area?"" When you take education and technology, then I find in the literature that, you know, things like websites, collaborative environments -- you've been listening to all that in the morning -- it's always piloted first in the best schools, the best urban schools, and, according to me, biases the result. If you took the same technology and piloted it into one of those remote schools, where the score was 30 percent, and, let's say, took that up to 40 percent -- that will be a completely different thing. I'm going to talk about children and self-organization, and a set of experiments which sort of led to this idea of what might an alternative education be like. They cut a hole inside that wall -- which is how it has got the name hole-in-the-wall -- and put a pretty powerful PC into that hole, sort of embedded into the wall so that its monitor was sticking out at the other end, a touchpad similarly embedded into the wall, put it on high-speed Internet, put the Internet Explorer there, put it on Altavista.com -- in those days -- and just left it there. And this is what we saw. The last question is what everybody said, but you know, I mean, they must have poked their head over the wall and asked the people in your office, can you show me how to do it, and then somebody taught him. So we thought that this is what was happening: that children in groups can self-instruct themselves to use a computer and the Internet. So I said, ""But how did you understand what's going on over there?"" What did we find? I'll leave it at that, because, I mean, it sort of says it all, doesn't it? What could they learn to do? And over 300 children will become computer literate and be able to do all of these things in six months with one computer. So, how do they do that? What you have, actually, is there is one child operating the computer.","Technology is always piloted first in the best schools, the best urban schools. This biases the result. If you took the same technology and piloted it into one of those remote schools, that will be a completely different thing. e wall so that its monitor was sticking out at the other end, a touchpad similarly embedded into the wall. Put it on high-speed Internet, put the Internet Explorer there, put it on Altavista.com -- in those days -- and just left it there. And this is what we saw.","Speaking at LIFT 2007, Sugata Mitra talks about his Hole in the Wall project. Young kids in this project figured out how to use a PC on their own -- and then taught other kids. He asks, what else can children teach themselves?"
279,"It's always sort of struck me as really a scary thought that if you see a dog in a park, and the owner is calling it, and the owner says, you know, ""Puppy, come here, come here,"" and the dog thinks, ""Hmm, interesting. When he was a little puppy, he puts his paws on your leg -- you know, isn't that nice? The number one is, ""I have it, you don't."" And people say, ""Well, I don't know, to sit, I guess."" And the dog can take a note, and I've got my own little search-and-rescue dog. As I said, if he's in the park and there's a rear end to sniff, why come to the owner? So the second stage in training is to teach the dog to want to do what we want him to do, and this is very easy. And what we're doing, in essence, is we're teaching the dog, kind of like -- we're letting the dog think that the dog is training us. All I have to do is sit, and they do everything. And I have a little sign on my fridge, and it says, ""Because I'm the daddy, that's why."" And I would say, if it doesn't have to be, then maybe it shouldn't be. You see someone in the park -- and I'll cover my mic when I say this, because I don't want to wake you up -- and there's the owner in the park, and their dog's over here, and they say, ""Rover, come here. I was walking onto a plane -- this, for me, was a pivotal moment in my career, and it really cemented what I wanted to do with this whole puppy-training thing, the notion of how to teach puppies in a dog-friendly way to want to do what we want to do, so we don't have to force them. I don't understand a thing about it now, but I could do it as a kid. And my look to the future is, and what I want to do with this doggy stuff, is to teach people that you know, your husband's just as easy to train.","It's always sort of struck me as really a scary thought that if you see a dog in a park, and the owner is calling it. So the second stage in training is to teach the dog to want to do what we want him to do. And what we're doing, in essence, is we're teaching the dog. ""I was walking onto a plane -- this, for me, was a pivotal moment in my career,"" she says. ""It really cemented what I wanted to do with this whole puppy-training thing"" ""I don't understand a thing about it now, but I could do it as a kid,"" she adds.","Speaking at the 2007 EG conference, trainer Ian Dunbar asks us to see the world through the eyes of our beloved dogs. By knowing our pets' perspective, we can build their love and trust. It's a message that resonates well beyond the animal world."
280,"My mission in life since I was a kid was, and is, to take the rest of you into space. They didn't know what couldn't be done. But I put forward here, the government is not going to get us there. One of the things that we did with the Ansari X PRIZE was take the challenge on that risk is OK, you know. In fact, anyone who says we shouldn't, you know, just needs to be put aside, because, as we go forward, in fact, the greatest discoveries we will ever know is ahead of us. We know -- 20 million dollars today, you can go and buy a ticket, but how cheap could it get? I have no question that the physics, the engineering to get us down to the point where all of us can afford orbital space flight is around the corner. And we have made a decision in the X PRIZE Foundation to actually carry that concept forward into other technology areas, and we just took on a new mission statement: ""to bring about radical breakthroughs in space and other technologies for the benefit of humanity."" If you put up a prize, you can get literally a 50 to one leverage on your dollars. And then he turned around and said, ""Well, if you back a prize institute that runs a 10 prize, you get 500 to one."" But if you put up a prize, the beautiful thing is, you know, it's a very small maintenance fee, and you pay on success. You know, innovators, the entrepreneurs out there, you know that when you're going for a goal, the first thing you have to do is believe that you can do it yourself. And then you have to convince others, so that they can, in fact, help you raise the funds, and then you've got to deal with the fact that you've got government bureaucracies and institutions that don't want you to move those things forward, and you have to deal with failures. What a prize does, what we've experienced a prize doing, is literally help to short-circuit or support all of these things, because a prize credentials the idea that this is a good idea. So, as an organization, we put together a prize discovery process of how to come up with prizes and write the rules, and we're actually looking at creating prizes in a number of different categories.","""My mission in life since I was a kid was, and is, to take the rest of you into space,"" Ansari says. ""Anyone who says we shouldn't, you know, just needs to be put aside,"" he says. erally a 50 to one leverage on your dollars. But if you put up a prize, the beautiful thing is, you know, it's a very small maintenance fee, and you pay on success. A prize credentials the idea that this is a good idea. ""We're actually looking at creating prizes in a number of different categories,"" he says. ""We're looking to create prizes for people of all ages and backgrounds,"" he adds.","Peter Diamandis says it's our moral imperative to keep exploring space -- and he talks about how, with the X Prize and other incentives, we're going to do just that."
281,"PH: Would you like to be the president of a TV network? Girl 4: I wouldn't like it. Girl 5: Because they're going to lose all their money eventually. I think right now the computers will be at the top and everything will be kind of going down and stuff. So, what I'd like to ask is, if the computer is becoming a principal tool of media and entertainment, how did we get here? About 20 percent of all the nation's programmers were wrapped up in this thing, and it led to an awful lot of what we have today. To build that, what we'd do with Whirlwind technology is we'd have to take up roughly from the 10 to Mulholland, and from the 405 to La Cienega just with those Whirlwinds. So, the next time they tell you they're on to something, clearly they're not. It turns out there was a lot to learn about how this new medium worked. But all that was about to change. The year is 1993 and he was working on a book and I was working on a video to help him kind of explain where we were all heading and how to popularize all this. Well, you know where we're going on from here. PH: One of the great things that's going on here is the globalization of content really is happening. We don't have to go to them."" PH: I think it's a great time of enthrallment.","About 20 percent of all the nation's programmers were wrapped up in this thing. To build that, what we'd do with Whirlwind technology is we'd have to take up roughly from the 10 to Mulholland. Well, you know where we're going on from here. One of the great things that's going on here is the globalization of content really is happening. We don't have to go to them.""","In this absorbing look at emerging media and tech history, Peter Hirshberg shares some crucial lessons from Silicon Valley and explains why the web is so much more than ""better TV."""
282,"You become part of an ""us."" That is all you do. Their own personal security is not their end goal, and because of that, because, rather than worrying about security, because the transformation of suffering is their end goal, I actually believe they are creating real safety and a whole new idea of security. That will happen because women in Cairo made a decision to stand up and put themselves on the line, and talk about the degree of violence that is happening in Egypt, and were willing to be attacked and criticized. But the amazing news was that because they had stood up, these women, and because they had been willing to risk their security, it began a discussion that not only happened in Uganda, but all of Africa. So she really struggled with this, what to do, because she was a senior and she was doing well in her school and she was threatened expulsion. When she was a young girl, she had been mutilated against her will. She had this amazing box that she carried and it had a torso of a woman's body in it, a half a torso, and she would teach people, everywhere she went, what a healthy vagina looked like and what a mutilated vagina looked like. When V-Day met her, we asked her how we could support her and she said, ""Well, if you got me a Jeep, I could get around a lot faster."" When she began her mission eight years ago, she was reviled, she was detested, she was completely slandered in her community. (Applause) I think what I'm trying to say here is that if your end goal is security, and if that's all you're focusing on, what ends up happening is that you create not only more insecurity in other people, but you make yourself far more insecure. And I think part of what I'm learning in this process is that one must allow oneself to feel grief. Because when you spend a lot of time going from place to place, country to country, and city to city, the degree to which women, for example, are violated, and the epidemic of it, and the kind of ordinariness of it, is so devastating to one's soul that you have to take the time, or I have to take the time now, to process that. CA: There are a lot of causes out there in the world that have been talked about, you know, poverty, sickness and so on. If you think that the U.N. now says that one out of three women on the planet will be raped or beaten in their lifetime, we're talking about the desecration of the primary resource of the planet, we're talking about the place where we come from, we're talking about parenting.","Women in Cairo made a decision to stand up and put themselves on the line. Their own personal security is not their end goal. It began a discussion that not only happened in Uganda, but all of Africa. half a torso, and she would teach people, everywhere she went, what a healthy vagina looked like. When she began her mission eight years ago, she was reviled and detested. She was completely slandered in her community. The U.N. now says that one out of three women on the planet will be raped or beaten in their lifetime. ""We're talking about the desecration of the primary resource of the planet,"" she says.","Playwright Eve Ensler explores our modern craving for security -- and why it makes us less secure. Listen for inspiring, heartbreaking stories of women making change."
283,"(Laughter) But the reason I put this up here is because when I was in Africa last year, my wife and I were driving around, we had this wonderful guide, who showed us something that surprised both of us, and it was very revealing in terms of the fascination that comes with the design of animals. (Laughter) That's not what I'm here to talk about, but it is a fascinating aspect of animal design. What I'm here to talk about is the camel. Didn't look like it to me. And we said, ""We get out and walk?"" We got out and walked, and sure enough, about half a mile, we came over the crest of this hill, and there was a huge gathering of Bedouin with their camels. Richard said, ""I want you to get up close and personal with this camel. I want you to get as close to that camel as you possibly can."" We went down there, and I took one look at this camel. They don't. They don't have traditional hooves, but they do have one, like, big nail. (Music) (Applause) KB: What I didn't show you was, you got that swinging thing going? Now, what you also didn't see was that -- and you may have noticed in the pen beside him and, by the way, the camel's name is Suki. But before I do, I just want to mention that this animal truly is a sort of the SUV of the sand, the ship of the desert. It doesn't have an environment that adapts to it; it has to adapt to the environment."," KB: When I was in Africa last year, my wife and I were driving around, we had this wonderful guide, who showed us something that surprised both of us. It was very revealing in terms of the fascination that comes with the design of animals. What I'm here to talk about is the camel. The camel's name is Suki. The animal is a sort of the SUV of the sand, the ship of the desert. It doesn't have an environment that adapts to it; it has to adapt to the environment.","Keith Bellows gleefully outlines the engineering marvels of the camel, a vital creature he calls ""the SUV of the desert."" Though he couldn't bring a live camel to TED, he gets his camera crew as close as humanly possible to a one-ton beast in full rut."
284,"I'm here to talk to you about the importance of praise, admiration and thank you, and having it be specific and genuine. And the way I got interested in this was, I noticed in myself, when I was growing up, and until about a few years ago, that I would want to say thank you to someone, I would want to praise them, I would want to take in their praise of me and I'd just stop it. So my question is, why don't we ask for the things that we need? I know a gentleman, married for 25 years, who's longing to hear his wife say, ""Thank you for being the breadwinner, so I can stay home with the kids,"" but won't ask. She, once a week, meets with her husband and says, ""I'd really like you to thank me for all these things I did in the house and with the kids."" And she said, ""Why wouldn't I thank it, even though they're supposed to do it?"" So, the question is, why was I blocking it? And it's because I'm giving you critical data about me. I'm telling you where I need your help. The guy said, ""You know, when you true the wheels, it's going to make the bike so much better."" I get the same bike back, and they've taken all the little warps out of those same wheels I've had for two and a half years, and my bike is like new. I want you to true your wheels: be honest about the praise that you need to hear. What do you need to hear? Go home to your wife -- go ask her, what does she need? And I want to thank all of you in the audience for being great husbands, great mothers, friends, daughters, sons.","I noticed in myself, when I was growing up, that I would want to say thank you to someone. So my question is, why don't we ask for the things that we need? I know a gentleman, married for 25 years, who's longing to hear his wife say, ""Thank you for being the breadwinner"" ""I want you to true your wheels: be honest about the praise that you need to hear,"" he says. ""Go home to your wife -- go ask her, what does she need?""","In this deceptively simple 3-minute talk, Dr. Laura Trice muses on the power of the magic words ""thank you"" -- to deepen a friendship, to repair a bond, to make sure another person knows what they mean to you. Try it."
285,"Part of the problem, I think, is we stand at the beach, or we see images like this of the ocean, and you look out at this great big blue expanse, and it's shimmering and it's moving and there's waves and there's surf and there's tides, but you have no idea for what lies in there. They're going up and down. Bill Lange: We tend to forget about the fact that the ocean is miles deep on average, and that we're real familiar with the animals that are in the first 200 or 300 feet, but we're not familiar with what exists from there all the way down to the bottom. And you can sit in a room like this, with a joystick and a headset, and drive a robot like that around the bottom of the ocean in real time. And then we had some hint that these things existed all along the axis of it, because if you've got volcanism, water's going to get down from the sea into cracks in the sea floor, come in contact with magma, and come shooting out hot. BL: The white material is a type of bacteria that thrives at 180 degrees C. DG: I think that's one of the greatest stories right now that we're seeing from the bottom of the sea, is that the first thing we see coming out of the sea floor after a volcanic eruption is bacteria. DG: You can see, here's a crab that lives down there. Here they go. What they're getting at is that -- on the back of this crab -- the foodstuff here is this very strange bacteria that lives on the backs of all these animals. And what these shrimp are trying to do is actually harvest the bacteria from the backs of these animals. You see the hot water over here, here and here, coming out. DG: All this stuff is happening along that 40,000-mile long mountain range that we're calling the ribbon of life, because just even today, as we speak, there's life being generated there from volcanic activity. Here's crabs here, worms here. It's not a disaster, it's rhythmic. So, what we've got to learn now is to find out where this planet's going at all these different scales and work with it.","The ocean is miles deep on average, and that we're real familiar with the animals that are in the first 200 or 300 feet. We're not familiar with what exists from there all the way down to the bottom. And you can sit in a room like this, with a joystick and a headset, and drive a robot like that around the bottom of the ocean in real time. The first thing we see coming out of the sea floor after a volcanic eruption is bacteria. What we've got to learn now is to find out where this planet's going at all these different scales.","With vibrant video clips captured by submarines, David Gallo takes us to some of Earth's darkest, most violent, toxic and beautiful habitats, the valleys and volcanic ridges of the oceans' depths, where life is bizarre, resilient and shockingly abundant."
286,"If you ask people about what part of psychology do they think is hard, and you say, ""Well, what about thinking and emotions?"" And I think the only way to avoid it is to have some horrible visible disease, and then you don't have to explain. And then, of course, you have to do something about how to moderate that, so that anybody can -- so they'll listen to you. If you had 100 million people properly spread out, then if there's some garbage, you throw it away, preferably where you can't see it, and it will rot. So if you make them this big, by using nanotechnology, I suppose -- (Laughter) -- then you could have a thousand times as many. A person comes out, they live for a thousand years doing whatever they do, and then, when it's time to go back for a billion years -- or a million, I forget, the numbers don't matter -- but there really aren't very many people on Earth at a time. I think the big problem is that we're not smart enough to understand which of the problems we're facing are good enough. Well, what are we going to do about that? And as I said, we don't know how hard that is. So this is something that people will be discussing and lots of ethicists -- you know, an ethicist is somebody who sees something wrong with whatever you have in mind. If we do have longevity, then we'll have to face the population growth problem anyway. Nobody knows how most of them work in detail, but we do know that there're lots of different things in there. And I guess I better skip all the rest of this, which are some details on how we might make those smart machines and -- (Laughter) -- and the main idea is in fact that the core of a really smart machine is one that recognizes that a certain kind of problem is facing you. Saying, not what are the situations, but what are the kinds of problems and what are the kinds of strategies, how do you learn them, how do you connect them up, how does a really creative person invent a new way of thinking out of the available resources and so forth. So, I think in the next 20 years, if we can get rid of all of the traditional approaches to artificial intelligence, like neural nets and genetic algorithms and rule-based systems, and just turn our sights a little bit higher to say, can we make a system that can use all those things for the right kind of problem?","If you had 100 million people properly spread out, then if there's some garbage, you throw it away, preferably where you can't see it, and it will rot. So if you make them this big, by using nanotechnology, I suppose -- (Laughter) -- then you could have a thousand times as many. I think the big problem is that we're not smart enough to understand which of the problems we're facing are good enough. The core of a really smart machine is one that recognizes that a certain kind of problem is facing you. Nobody knows how most of them work in detail, but we do know that there're lots of different things in there. an get rid of all of the traditional approaches to artificial intelligence, like neural nets and genetic algorithms and rule-based systems. We just turn our sights a little bit higher to say, can we make a system that can use all those things for the right kind of problem?","Listen closely -- Marvin Minsky's arch, eclectic, charmingly offhand talk on health, overpopulation and the human mind is packed with subtlety: wit, wisdom and just an ounce of wily, is-he-joking? advice."
287,"The famous ones -- despotism is a good one; anarchy is a way to not deploy the power in any organized way, to do it in a radically diffused fashion; and democracy is a set of technologies, which have the effect of, in principle, diffusing the power source to a large number of people and then re-concentrating it in a smaller group of people who govern, and who themselves are, in principle, authorized to govern by virtue of what the broader public has done. I don't want to suggest that they are a single thing that you can point to. You can show a mosque, or you can show worshippers, but there's not a straightforward way of depicting Islam. It follows from that that all of the people in the world who say that they are Muslims can, in principle, subscribe to a wide range of different interpretations of what Islam really is, and the same is true of democracy. Fear is not an implausible reaction with a war just around the corner and with a very, very high likelihood that many, many people are going to die as a consequence of this confrontation -- a confrontation which many, many people in the Muslim world do not want, many, many people in the American democracy do not want, many people elsewhere in the world do not want, but which nonetheless is favored by a large enough number of people -- at least in the relevant space, which is the United States -- to actually go forward. Well, all over the Muslim world there are people who take Islam deeply seriously, people who care about Islam, for whom it's a source either of faith, or of civilization, or of deep values, or just a source of powerful personal identity, who think and are saying loudly that Islam and democracy are in fact not in conflict, but are in fact deeply compatible. But now that the Cold War is over, there's nearly universal consensus in the Muslim world -- and pretty close to the same here in the United States, if you talk to people and ask them -- that in principle, there's no reason that democracy and Islam cannot co-exist. I'm here to tell you that many, many Muslims believe -- the vast majority, in fact -- in fact I think I would go so far as to say that many Muslims in Saudi Arabia believe that the core values of Islam, namely acknowledgement of God's sovereignty and basic human equality before God, are themselves compatible with liberty, equality and free political choice. Now what I want to suggest to you is that the reason for hope in this case is that we are on the edge of a real transformation in the Muslim world. And that's a transformation in which many sincerely believing Muslims -- who care very, very deeply about their traditions, who do not want to compromise those values -- believe, through the malleability of the technology of democracy and the malleability and synthetic capability of the technology of Islam, that these two ideas can work together. It will also not look exactly the way either the people in this room, or Muslims out in the rest of the world -- I don't mean to imply there aren't Muslims here, there probably are -- conceptualize Islam. Now, I began with the war because it's the elephant in the room, and you can't pretend that there isn't about to be a war if you're talking about these issues. The war has tremendous risks for the model that I'm describing because it's very possible that as a consequence of a war, many Muslims will conclude that the United States is not the kind of place that they want to emulate with respect to its forms of political government. On the other hand, the capacities for positive results in the aftermath of a war are also not to be underestimated, even by, and I would say especially by, people who are deeply skeptical about whether we should go to war in the first place. And I think that we are capable of taking on that obligation, but only if we put what we can into it.","Democracy is a set of technologies which have the effect of diffusing the power source to a large number of people. It follows from that that all of the people in the world who say that they are Muslims can, in principle, subscribe to a wide range of different interpretations of what Islam really is. equence of this confrontation -- a confrontation which many, many people in the Muslim world do not want. But nonetheless, a large enough number of people -- at least in the relevant space, which is the United States -- to actually go forward. Many Muslims in Saudi Arabia believe that the core values of Islam are themselves compatible with liberty, equality and free political choice. Many sincerely believing Muslims believe, through the malleability of the technology of democracy, that these two ideas can work together. Islam. The war has tremendous risks for the model that I'm describing. It's very possible that as a consequence of a war, many Muslims will conclude that the U.S. is not the kind of place that they want to emulate with respect to its forms of political government.","Noah Feldman makes a searing case that both politics and religion -- whatever their differences -- are similar technologies, designed to efficiently connect and manage any group of people."
288,"So that's really what this is all about. If I had one here and ripped it open, and that pile I would have on the floor is what we consume and feed our children every year because of what goes into our food supply, because of the way we consume produce in America. We really are what we eat. You know, we have to change the way we teach kids about these things. I get up at 4 a.m. every day and go cook the food for the kids, because this is what we need to do. Now you've probably garnered that I don't love the USDA, and I don't have any idea what to do with their pyramid, this upside-down pyramid with a rainbow over the top, I don't know. You know, we have to change it. You know, the things that we maybe do at home and think are so important, we have to teach kids about in school. And if we're going to change it, and change how we feed kids, we really have to rethink that. You know, if you have kids coming into lunch and all they're going to do when they get out of lunch is go to have recess, you see them just throw away their lunch so they can run outside. I think if we're going to fix this, one of the things we have to do is really change how we have oversight over the National School Lunch Program. Okay, Finance 101 on this, and this -- I'm sort of wrapping it up with this finance piece, because I think this is something we all have to understand. So you know what, when we talk about needing 8 billion more, it's not a lot. That means we spend less than a dollar a day on food for kids in schools -- most schools, 80 to 90 cents. In our country, it's the kids that need it the most, who get this really, really lousy food.","""I get up at 4 a.m. every day and go cook the food for the kids, because this is what we need to do,"" he says. ""We have to change the way we teach kids about these things"" row away their lunch so they can run outside. I think if we're going to fix this, one of the things we have to do is really change how we have oversight over the National School Lunch Program.","Speaking at the 2007 EG conference, ""renegade lunch lady"" Ann Cooper talks about the coming revolution in the way kids eat at school -- local, sustainable, seasonal and even educational food."
